net,length_um
net60,157.6µm
net61,151.66µm
clknet_2_2__leaf_clk,150.7µm
net35,106.98µm
net38,102.94µm
net62,101.8µm
clknet_2_0__leaf_clk,98.52µm
clknet_2_1__leaf_clk,98.5µm
b_reg\[2\],94.06µm
net50,93.59µm
net58,91.66µm
net52,89.4µm
net59,89.3µm
clknet_2_3__leaf_clk,86.4µm
net51,85.24µm
net39,84.245µm
net46,83.99µm
clk,81.33µm
net41,73.965µm
a_reg\[0\],71.87µm
net54,69.595µm
net36,67.185µm
b_reg\[3\],65.71µm
b_reg\[5\],64.02µm
net48,61.05µm
net56,59.68µm
a_reg\[1\],59.66µm
clknet_0_clk,56.7µm
b_reg\[4\],54.34µm
net43,54.34µm
a_reg\[2\],53.68µm
net45,52.955µm
b_reg\[7\],52.56µm
net40,49.77µm
net37,48.08µm
a_reg\[3\],47.54µm
b_reg\[6\],46.68µm
_182_,45.14µm
net42,44.435µm
a_reg\[4\],43.67µm
net57,42.22µm
_166_,41.96µm
_213_,40.675µm
a_reg\[7\],40.28µm
b_reg\[0\],38.92µm
_153_,37.92µm
_240_,34.6µm
net44,32.94µm
_245_,31.96µm
b_reg\[1\],30.74µm
net47,30.5µm
_089_,30.2µm
_041_,29.65µm
net64,29.28µm
net55,27.92µm
_246_,27.505µm
_225_,27.48µm
a_reg\[6\],27.36µm
net49,27.26µm
_076_,26.6µm
_085_,26.08µm
_073_,25.96µm
_087_,25.54µm
_270_,24.56µm
_154_,23.575µm
_117_,23.44µm
net53,23.34µm
_293_,21.9µm
_165_,21.88µm
_116_,21.82µm
_099_,21.54µm
_065_,21.4µm
_075_,21.24µm
_232_,20.7µm
_220_,20.65µm
_093_,20.52µm
_276_,20.32µm
_183_,20.2µm
_124_,19.5µm
_061_,19.16µm
_044_,19.075µm
_111_,19µm
_249_,18.87µm
_197_,18.86µm
_286_,18.56µm
_219_,18.55µm
a[1],18.38µm
_162_,18.2µm
_273_,18.195µm
_161_,18.16µm
_196_,18.06µm
_110_,18µm
_268_,17.96µm
_224_,17.92µm
_038_,17.86µm
_058_,17.74µm
_112_,17.6µm
_152_,17.4µm
_120_,17.28µm
_149_,16.98µm
product_reg\[9\],16.9µm
_236_,16.74µm
_113_,16.44µm
_239_,16.16µm
_104_,16µm
_134_,15.94µm
_097_,15.885µm
_163_,15.72µm
_185_,15.605µm
_254_,15.38µm
_257_,15.22µm
_208_,15.05µm
_315_,14.945µm
_135_,14.92µm
_035_,14.565µm
_050_,14.52µm
_105_,14.26µm
_259_,14.22µm
_082_,14.1µm
_123_,14.03µm
_103_,14.02µm
net65,13.96µm
_318_,13.92µm
_133_,13.84µm
_069_,13.8µm
_191_,13.765µm
_228_,13.52µm
net5,13.345µm
_312_,13.32µm
_114_,13.26µm
_127_,13.14µm
_281_,13.12µm
_168_,13.08µm
_190_,13.08µm
_051_,13.04µm
a[0],12.86µm
_084_,12.78µm
_284_,12.58µm
_277_,12.56µm
_169_,12.54µm
_287_,12.43µm
_122_,12.42µm
_218_,12.34µm
_047_,12.26µm
_319_,12.22µm
_074_,12.14µm
_250_,12.14µm
_070_,12.08µm
_193_,12.07µm
_275_,11.81µm
_063_,11.74µm
_102_,11.72µm
_043_,11.62µm
_209_,11.62µm
_142_,11.42µm
_090_,11.3µm
_088_,11.24µm
_230_,11.24µm
_109_,11.22µm
_265_,11.2µm
_299_,11.14µm
_215_,10.92µm
_049_,10.88µm
_106_,10.8µm
_034_,10.78µm
a_reg\[5\],10.78µm
_115_,10.66µm
_077_,10.6µm
_233_,10.5µm
_307_,10.4µm
_072_,10.38µm
_150_,10.38µm
product[10],10.32µm
product[11],10.32µm
product[12],10.32µm
product[13],10.32µm
product[14],10.32µm
_186_,10.28µm
_137_,10.2µm
_290_,10.2µm
a[2],10.1µm
