Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_31_181,VPWR,li1,90.6200,95.2000,1.799657
FILLER_31_169,VPWR,li1,86.0200,95.2000,1.799657
FILLER_31_165,VPWR,li1,82.1100,95.2000,1.799657
FILLER_31_153,VPWR,li1,78.6600,95.2000,1.799657
FILLER_31_141,VPWR,li1,73.1400,95.2000,1.799657
FILLER_31_135,VPWR,li1,67.8500,95.2000,1.799660
FILLER_31_131,VPWR,li1,66.7000,95.2000,1.799660
FILLER_31_119,VPWR,li1,63.0200,95.2000,1.799666
FILLER_31_113,VPWR,li1,57.9600,95.2000,1.799682
FILLER_31_110,VPWR,li1,56.5800,95.2000,1.799682
FILLER_31_98,VPWR,li1,53.3600,95.2000,1.799697
FILLER_31_93,VPWR,li1,48.5300,95.2000,1.799716
FILLER_31_85,VPWR,li1,46.4600,95.2000,1.799728
FILLER_31_82,VPWR,li1,43.7000,95.2000,1.799745
FILLER_31_70,VPWR,li1,40.4800,95.2000,1.799765
FILLER_31_63,VPWR,li1,35.1900,95.2000,1.799797
FILLER_31_57,VPWR,li1,32.2000,95.2000,1.799833
FILLER_31_53,VPWR,li1,30.5900,95.2000,1.799833
FILLER_31_41,VPWR,li1,27.1400,95.2000,1.799862
FILLER_31_29,VPWR,li1,21.6200,95.2000,1.799916
FILLER_31_27,VPWR,li1,18.1700,95.2000,1.799916
FILLER_31_15,VPWR,li1,15.1800,95.2000,1.799916
FILLER_31_3,VPWR,li1,9.6600,95.2000,1.799916
FILLER_30_177,VPWR,li1,89.7000,95.2000,1.799657
FILLER_30_165,VPWR,li1,84.1800,95.2000,1.799657
FILLER_30_153,VPWR,li1,78.6600,95.2000,1.799657
FILLER_30_141,VPWR,li1,73.1400,95.2000,1.799657
FILLER_30_132,VPWR,li1,68.0800,95.2000,1.799660
FILLER_30_88,VPWR,li1,46.9200,95.2000,1.799728
FILLER_30_72,VPWR,li1,41.4000,95.2000,1.799765
FILLER_30_60,VPWR,li1,35.8800,95.2000,1.799797
FILLER_30_29,VPWR,li1,20.7000,95.2000,1.799916
FILLER_30_27,VPWR,li1,18.1700,95.2000,1.799916
FILLER_30_15,VPWR,li1,15.1800,95.2000,1.799916
FILLER_30_3,VPWR,li1,9.6600,95.2000,1.799916
FILLER_29_181,VPWR,li1,89.7000,89.7600,1.799759
FILLER_29_169,VPWR,li1,86.0200,89.7600,1.799763
FILLER_29_162,VPWR,li1,81.4200,89.7600,1.799769
FILLER_29_150,VPWR,li1,77.2800,89.7600,1.799774
FILLER_29_138,VPWR,li1,71.7600,89.7600,1.799782
FILLER_29_126,VPWR,li1,66.2400,89.7600,1.799787
FILLER_29_121,VPWR,li1,61.6400,89.7600,1.799793
FILLER_29_113,VPWR,li1,59.3400,89.7600,1.799797
FILLER_29_108,VPWR,li1,56.1200,89.7600,1.799800
FILLER_29_104,VPWR,li1,53.5900,89.7600,1.799803
FILLER_29_92,VPWR,li1,50.6000,89.7600,1.799812
FILLER_29_69,VPWR,li1,37.9500,89.7600,1.799855
FILLER_29_57,VPWR,li1,34.5000,89.7600,1.799870
FILLER_29_55,VPWR,li1,31.0500,89.7600,1.799890
FILLER_29_51,VPWR,li1,29.9000,89.7600,1.799890
FILLER_29_39,VPWR,li1,26.2200,89.7600,1.799911
FILLER_29_27,VPWR,li1,20.7000,89.7600,1.799942
FILLER_29_15,VPWR,li1,15.1800,89.7600,1.799942
FILLER_29_3,VPWR,li1,9.6600,89.7600,1.799942
