Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_35_209,VGND,li1,102.1200,108.8000,0.000290
FILLER_35_197,VGND,li1,98.9000,108.8000,0.000290
FILLER_35_189,VGND,li1,93.1500,108.8000,0.000290
FILLER_35_183,VGND,li1,90.1600,108.8000,0.000285
FILLER_35_175,VGND,li1,87.8600,108.8000,0.000278
FILLER_35_169,VGND,li1,83.7200,108.8000,0.000258
FILLER_35_165,VGND,li1,82.1100,108.8000,0.000258
FILLER_35_153,VGND,li1,78.6600,108.8000,0.000245
FILLER_35_141,VGND,li1,73.1400,108.8000,0.000224
FILLER_35_137,VGND,li1,69.2300,108.8000,0.000209
FILLER_35_125,VGND,li1,65.7800,108.8000,0.000196
FILLER_35_113,VGND,li1,60.2600,108.8000,0.000175
FILLER_35_109,VGND,li1,56.3500,108.8000,0.000154
FILLER_35_97,VGND,li1,52.9000,108.8000,0.000148
FILLER_35_85,VGND,li1,47.3800,108.8000,0.000127
FILLER_35_81,VGND,li1,43.4700,108.8000,0.000112
FILLER_35_69,VGND,li1,40.0200,108.8000,0.000099
FILLER_35_57,VGND,li1,34.5000,108.8000,0.000078
FILLER_35_54,VGND,li1,30.8200,108.8000,0.000064
FILLER_35_46,VGND,li1,28.5200,108.8000,0.000055
FILLER_35_34,VGND,li1,23.9200,108.8000,0.000038
FILLER_35_29,VGND,li1,19.3200,108.8000,0.000038
FILLER_35_27,VGND,li1,18.1700,108.8000,0.000038
FILLER_35_15,VGND,li1,15.1800,108.8000,0.000038
FILLER_35_3,VGND,li1,9.6600,108.8000,0.000038
FILLER_34_209,VGND,li1,102.1200,103.3600,0.000464
FILLER_34_197,VGND,li1,98.9000,103.3600,0.000464
FILLER_34_195,VGND,li1,95.4500,103.3600,0.000464
FILLER_34_191,VGND,li1,94.3000,103.3600,0.000464
FILLER_34_179,VGND,li1,90.6200,103.3600,0.000464
FILLER_34_175,VGND,li1,86.2500,103.3600,0.000459
FILLER_34_169,VGND,li1,84.6400,103.3600,0.000459
FILLER_34_85,VGND,li1,44.8500,103.3600,0.000256
FILLER_34_71,VGND,li1,40.0200,103.3600,0.000220
FILLER_34_57,VGND,li1,32.2000,103.3600,0.000150
FILLER_34_49,VGND,li1,29.9000,103.3600,0.000134
FILLER_34_27,VGND,li1,18.1700,103.3600,0.000099
FILLER_34_15,VGND,li1,15.1800,103.3600,0.000099
FILLER_34_3,VGND,li1,9.6600,103.3600,0.000099
FILLER_33_210,VGND,li1,102.3500,103.3600,0.000464
FILLER_33_204,VGND,li1,100.7400,103.3600,0.000464
FILLER_33_192,VGND,li1,96.6000,103.3600,0.000464
FILLER_33_104,VGND,li1,55.2000,103.3600,0.000336
FILLER_33_75,VGND,li1,41.8600,103.3600,0.000235
