Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_35_209,VPWR,li1,103.0400,106.0800,1.799635
FILLER_35_197,VPWR,li1,98.9000,106.0800,1.799635
FILLER_35_195,VPWR,li1,95.4500,106.0800,1.799635
FILLER_35_189,VPWR,li1,93.8400,106.0800,1.799635
FILLER_35_182,VPWR,li1,89.9300,106.0800,1.799637
FILLER_35_177,VPWR,li1,87.1700,106.0800,1.799640
FILLER_35_169,VPWR,li1,85.1000,106.0800,1.799643
FILLER_35_156,VPWR,li1,80.0400,106.0800,1.799655
FILLER_35_141,VPWR,li1,72.2200,106.0800,1.799678
FILLER_35_139,VPWR,li1,69.6900,106.0800,1.799689
FILLER_35_133,VPWR,li1,68.0800,106.0800,1.799689
FILLER_35_121,VPWR,li1,63.9400,106.0800,1.799701
FILLER_35_117,VPWR,li1,59.5700,106.0800,1.799723
FILLER_35_113,VPWR,li1,58.4200,106.0800,1.799723
FILLER_35_100,VPWR,li1,54.2800,106.0800,1.799742
FILLER_35_94,VPWR,li1,49.4500,106.0800,1.799774
FILLER_35_85,VPWR,li1,46.0000,106.0800,1.799785
FILLER_35_81,VPWR,li1,43.4700,106.0800,1.799799
FILLER_35_69,VPWR,li1,40.0200,106.0800,1.799822
FILLER_35_57,VPWR,li1,34.5000,106.0800,1.799850
FILLER_35_48,VPWR,li1,29.4400,106.0800,1.799879
FILLER_35_41,VPWR,li1,25.3000,106.0800,1.799903
FILLER_35_37,VPWR,li1,22.7700,106.0800,1.799920
FILLER_35_29,VPWR,li1,20.7000,106.0800,1.799933
FILLER_35_27,VPWR,li1,18.1700,106.0800,1.799933
FILLER_35_23,VPWR,li1,16.3300,106.0800,1.799933
FILLER_35_15,VPWR,li1,14.2600,106.0800,1.799933
FILLER_35_3,VPWR,li1,9.6600,106.0800,1.799933
FILLER_34_209,VPWR,li1,103.0400,106.0800,1.799635
FILLER_34_197,VPWR,li1,98.9000,106.0800,1.799635
FILLER_34_184,VPWR,li1,92.9200,106.0800,1.799635
FILLER_34_157,VPWR,li1,77.9700,106.0800,1.799664
FILLER_34_153,VPWR,li1,76.8200,106.0800,1.799664
FILLER_34_144,VPWR,li1,71.9900,106.0800,1.799678
FILLER_34_81,VPWR,li1,43.4700,106.0800,1.799799
FILLER_34_72,VPWR,li1,39.3300,106.0800,1.799822
FILLER_34_64,VPWR,li1,36.8000,106.0800,1.799836
FILLER_34_40,VPWR,li1,24.1500,106.0800,1.799920
FILLER_34_32,VPWR,li1,22.0800,106.0800,1.799933
FILLER_34_27,VPWR,li1,18.1700,106.0800,1.799933
FILLER_34_15,VPWR,li1,15.1800,106.0800,1.799933
FILLER_34_3,VPWR,li1,9.6600,106.0800,1.799933
FILLER_33_189,VPWR,li1,93.8400,100.6400,1.799325
FILLER_33_151,VPWR,li1,75.4400,100.6400,1.799411
FILLER_33_128,VPWR,li1,65.0900,100.6400,1.799483
FILLER_33_120,VPWR,li1,62.5600,100.6400,1.799511
FILLER_33_111,VPWR,li1,56.8100,100.6400,1.799557
FILLER_33_107,VPWR,li1,55.6600,100.6400,1.799557
FILLER_33_65,VPWR,li1,35.6500,100.6400,1.799735
FILLER_33_57,VPWR,li1,33.5800,100.6400,1.799754
FILLER_33_54,VPWR,li1,30.8200,100.6400,1.799794
FILLER_33_6,VPWR,li1,10.1200,100.6400,1.799855
FILLER_32_210,VPWR,li1,102.3500,100.6400,1.799302
FILLER_32_205,VPWR,li1,100.2800,100.6400,1.799306
FILLER_32_197,VPWR,li1,97.9800,100.6400,1.799312
FILLER_32_195,VPWR,li1,95.4500,100.6400,1.799325
FILLER_32_191,VPWR,li1,94.3000,100.6400,1.799325
FILLER_32_179,VPWR,li1,90.6200,100.6400,1.799335
FILLER_32_154,VPWR,li1,77.0500,100.6400,1.799411
FILLER_32_145,VPWR,li1,73.6000,100.6400,1.799422
FILLER_32_141,VPWR,li1,70.6100,100.6400,1.799451
FILLER_32_137,VPWR,li1,69.2300,100.6400,1.799451
FILLER_32_125,VPWR,li1,65.7800,100.6400,1.799483
FILLER_32_109,VPWR,li1,55.8900,100.6400,1.799557
FILLER_32_98,VPWR,li1,50.8300,100.6400,1.799600
FILLER_32_56,VPWR,li1,31.9700,100.6400,1.799774
FILLER_32_48,VPWR,li1,29.4400,100.6400,1.799794
FILLER_32_41,VPWR,li1,25.3000,100.6400,1.799833
FILLER_32_29,VPWR,li1,21.6200,100.6400,1.799873
FILLER_32_26,VPWR,li1,17.9400,100.6400,1.799862
FILLER_31_194,VPWR,li1,94.9900,95.2000,1.799568
FILLER_31_188,VPWR,li1,93.3800,95.2000,1.799568
FILLER_31_176,VPWR,li1,89.2400,95.2000,1.799581
FILLER_31_169,VPWR,li1,83.7200,95.2000,1.799599
FILLER_31_159,VPWR,li1,79.3500,95.2000,1.799618
FILLER_31_151,VPWR,li1,76.8200,95.2000,1.799625
FILLER_31_125,VPWR,li1,64.4000,95.2000,1.799681
FILLER_31_113,VPWR,li1,60.2600,95.2000,1.799703
FILLER_31_111,VPWR,li1,56.8100,95.2000,1.799728
FILLER_31_99,VPWR,li1,53.8200,95.2000,1.799737
FILLER_31_87,VPWR,li1,45.7700,95.2000,1.799782
FILLER_31_57,VPWR,li1,31.9700,95.2000,1.799874
FILLER_31_46,VPWR,li1,28.0600,95.2000,1.799889
FILLER_31_34,VPWR,li1,23.9200,95.2000,1.799917
FILLER_31_6,VPWR,li1,10.1200,95.2000,1.799931
FILLER_30_210,VPWR,li1,102.3500,95.2000,1.799544
FILLER_30_205,VPWR,li1,100.2800,95.2000,1.799548
FILLER_30_197,VPWR,li1,97.9800,95.2000,1.799554
FILLER_30_195,VPWR,li1,95.4500,95.2000,1.799562
FILLER_30_189,VPWR,li1,93.8400,95.2000,1.799568
FILLER_30_177,VPWR,li1,89.7000,95.2000,1.799581
FILLER_30_165,VPWR,li1,84.1800,95.2000,1.799599
FILLER_30_153,VPWR,li1,78.6600,95.2000,1.799618
FILLER_30_141,VPWR,li1,73.1400,95.2000,1.799639
FILLER_30_138,VPWR,li1,69.4600,95.2000,1.799654
FILLER_30_126,VPWR,li1,66.2400,95.2000,1.799671
FILLER_30_114,VPWR,li1,60.7200,95.2000,1.799703
FILLER_30_102,VPWR,li1,55.2000,95.2000,1.799737
FILLER_30_90,VPWR,li1,49.6800,95.2000,1.799760
FILLER_30_85,VPWR,li1,45.0800,95.2000,1.799792
FILLER_30_83,VPWR,li1,43.9300,95.2000,1.799792
FILLER_30_77,VPWR,li1,42.3200,95.2000,1.799808
FILLER_30_41,VPWR,li1,26.2200,95.2000,1.799902
FILLER_30_29,VPWR,li1,21.6200,95.2000,1.799932
FILLER_30_23,VPWR,li1,16.5600,95.2000,1.799932
FILLER_30_15,VPWR,li1,14.2600,95.2000,1.799931
FILLER_30_9,VPWR,li1,10.3500,95.2000,1.799931
FILLER_29_192,VPWR,li1,94.5300,89.7600,1.799178
FILLER_29_184,VPWR,li1,92.0000,89.7600,1.799186
FILLER_29_156,VPWR,li1,77.5100,89.7600,1.799263
FILLER_29_152,VPWR,li1,76.3600,89.7600,1.799284
FILLER_29_126,VPWR,li1,64.1700,89.7600,1.799388
FILLER_29_118,VPWR,li1,60.2600,89.7600,1.799441
FILLER_29_106,VPWR,li1,55.6600,89.7600,1.799488
FILLER_29_90,VPWR,li1,47.3800,89.7600,1.799569
FILLER_29_82,VPWR,li1,43.4700,89.7600,1.799613
FILLER_29_74,VPWR,li1,41.4000,89.7600,1.799636
FILLER_29_43,VPWR,li1,25.7600,89.7600,1.799820
FILLER_29_35,VPWR,li1,23.4600,89.7600,1.799868
FILLER_29_23,VPWR,li1,18.8600,89.7600,1.799864
FILLER_28_210,VPWR,li1,102.3500,89.7600,1.799157
FILLER_28_205,VPWR,li1,100.2800,89.7600,1.799161
FILLER_28_197,VPWR,li1,97.9800,89.7600,1.799167
FILLER_28_194,VPWR,li1,95.2200,89.7600,1.799178
FILLER_28_186,VPWR,li1,92.9200,89.7600,1.799186
FILLER_28_136,VPWR,li1,68.3100,89.7600,1.799361
FILLER_28_130,VPWR,li1,66.7000,89.7600,1.799361
FILLER_28_118,VPWR,li1,62.5600,89.7600,1.799417
FILLER_28_113,VPWR,li1,57.9600,89.7600,1.799461
FILLER_28_101,VPWR,li1,54.7400,89.7600,1.799488
FILLER_28_92,VPWR,li1,49.2200,89.7600,1.799548
FILLER_28_85,VPWR,li1,44.8500,89.7600,1.799613
FILLER_28_82,VPWR,li1,43.7000,89.7600,1.799613
FILLER_28_64,VPWR,li1,36.8000,89.7600,1.799690
FILLER_28_60,VPWR,li1,33.3500,89.7600,1.799730
FILLER_28_55,VPWR,li1,31.0500,89.7600,1.799773
FILLER_28_51,VPWR,li1,29.9000,89.7600,1.799773
FILLER_28_39,VPWR,li1,26.2200,89.7600,1.799820
FILLER_28_35,VPWR,li1,21.8500,89.7600,1.799868
FILLER_28_29,VPWR,li1,20.2400,89.7600,1.799864
FILLER_28_26,VPWR,li1,17.9400,89.7600,1.799862
FILLER_27_194,VPWR,li1,94.9900,84.3200,1.798767
FILLER_27_190,VPWR,li1,93.8400,84.3200,1.798767
FILLER_27_182,VPWR,li1,89.4700,84.3200,1.798782
FILLER_27_169,VPWR,li1,83.4900,84.3200,1.798819
FILLER_27_167,VPWR,li1,82.5700,84.3200,1.798819
FILLER_27_161,VPWR,li1,80.2700,84.3200,1.798830
FILLER_27_136,VPWR,li1,68.5400,84.3200,1.798959
FILLER_27_124,VPWR,li1,65.3200,84.3200,1.798982
FILLER_27_116,VPWR,li1,59.1100,84.3200,1.799064
FILLER_27_106,VPWR,li1,54.5100,84.3200,1.799127
FILLER_27_70,VPWR,li1,37.9500,84.3200,1.799425
FILLER_27_64,VPWR,li1,36.3400,84.3200,1.799425
FILLER_27_54,VPWR,li1,30.8200,84.3200,1.799542
FILLER_27_46,VPWR,li1,28.5200,84.3200,1.799621
FILLER_27_23,VPWR,li1,16.7900,84.3200,1.799766
FILLER_27_15,VPWR,li1,14.2600,84.3200,1.799766
FILLER_27_3,VPWR,li1,9.6600,84.3200,1.799766
FILLER_26_210,VPWR,li1,102.3500,84.3200,1.798744
FILLER_26_205,VPWR,li1,100.2800,84.3200,1.798748
FILLER_26_197,VPWR,li1,97.9800,84.3200,1.798754
FILLER_26_193,VPWR,li1,94.9900,84.3200,1.798767
FILLER_26_185,VPWR,li1,92.4600,84.3200,1.798775
FILLER_26_178,VPWR,li1,87.8600,84.3200,1.798790
FILLER_26_161,VPWR,li1,82.3400,84.3200,1.798819
FILLER_26_128,VPWR,li1,67.1600,84.3200,1.798959
FILLER_26_119,VPWR,li1,60.7200,84.3200,1.799064
FILLER_26_107,VPWR,li1,57.5000,84.3200,1.799089
FILLER_26_94,VPWR,li1,49.4500,84.3200,1.799219
FILLER_26_83,VPWR,li1,43.9300,84.3200,1.799298
FILLER_26_77,VPWR,li1,42.3200,84.3200,1.799298
FILLER_26_29,VPWR,li1,20.7000,84.3200,1.799766
FILLER_26_27,VPWR,li1,18.1700,84.3200,1.799766
FILLER_26_15,VPWR,li1,15.1800,84.3200,1.799766
FILLER_26_3,VPWR,li1,9.6600,84.3200,1.799766
FILLER_25_199,VPWR,li1,99.8200,78.8800,1.799259
FILLER_25_187,VPWR,li1,94.3000,78.8800,1.799269
FILLER_25_175,VPWR,li1,88.7800,78.8800,1.799280
FILLER_25_169,VPWR,li1,83.4900,78.8800,1.799294
FILLER_25_137,VPWR,li1,70.3800,78.8800,1.799350
FILLER_25_125,VPWR,li1,65.7800,78.8800,1.799376
FILLER_25_105,VPWR,li1,54.2800,78.8800,1.799464
FILLER_25_99,VPWR,li1,51.2900,78.8800,1.799483
FILLER_25_95,VPWR,li1,50.1400,78.8800,1.799483
FILLER_25_70,VPWR,li1,37.9500,78.8800,1.799625
FILLER_25_66,VPWR,li1,36.8000,78.8800,1.799625
FILLER_25_57,VPWR,li1,32.4300,78.8800,1.799690
FILLER_25_50,VPWR,li1,29.9000,78.8800,1.799728
FILLER_25_43,VPWR,li1,26.2200,78.8800,1.799783
FILLER_25_35,VPWR,li1,22.3100,78.8800,1.799848
FILLER_25_27,VPWR,li1,19.7800,78.8800,1.799848
FILLER_25_15,VPWR,li1,15.1800,78.8800,1.799848
FILLER_25_3,VPWR,li1,9.6600,78.8800,1.799848
FILLER_24_214,VPWR,li1,104.1900,78.8800,1.799254
FILLER_24_210,VPWR,li1,103.0400,78.8800,1.799254
FILLER_24_205,VPWR,li1,100.2800,78.8800,1.799259
FILLER_24_197,VPWR,li1,97.9800,78.8800,1.799262
FILLER_24_195,VPWR,li1,95.4500,78.8800,1.799269
FILLER_24_189,VPWR,li1,93.8400,78.8800,1.799269
FILLER_24_173,VPWR,li1,86.0200,78.8800,1.799289
FILLER_24_169,VPWR,li1,83.4900,78.8800,1.799294
