net,length_um
net61,157.775µm
net60,157.12µm
clknet_2_2__leaf_clk,150.58µm
net38,116.4µm
net62,108.38µm
net35,107.08µm
clknet_2_1__leaf_clk,100.47µm
net50,98.28µm
clknet_2_0__leaf_clk,93.16µm
b_reg\[2\],93.12µm
net39,90.705µm
net59,89.76µm
net52,87.74µm
clknet_2_3__leaf_clk,87.2µm
net51,86.31µm
net46,85.78µm
net58,82µm
clk,80.99µm
net54,73.305µm
b_reg\[5\],70.94µm
net36,70.605µm
net41,70.54µm
a_reg\[0\],69.98µm
b_reg\[3\],68.74µm
net48,65.92µm
net56,58.84µm
clknet_0_clk,58.54µm
a_reg\[1\],58.16µm
a_reg\[5\],57.56µm
net43,56.06µm
a_reg\[2\],54.6µm
b_reg\[7\],53.14µm
net45,50.92µm
b_reg\[4\],50.22µm
a_reg\[3\],50.14µm
net40,49.2µm
net42,48.015µm
net57,46.32µm
b_reg\[6\],46.22µm
_182_,45.14µm
a_reg\[4\],43.5µm
net37,43.32µm
_166_,43.22µm
_213_,40.675µm
a_reg\[7\],40.28µm
_153_,39.48µm
b_reg\[0\],37.1µm
_089_,36.3µm
_240_,34.6µm
net47,34.08µm
net44,31.34µm
b_reg\[1\],30.74µm
_246_,29.17µm
a_reg\[6\],27.7µm
_225_,27.48µm
_245_,27.26µm
net53,27.24µm
net49,27.08µm
_085_,25.96µm
_087_,24.86µm
net55,24.4µm
_041_,23.5µm
_076_,23.2µm
_117_,23.1µm
_293_,22.675µm
_154_,22.005µm
_099_,22µm
_165_,21.98µm
_065_,21.86µm
_220_,21.39µm
_061_,21µm
_183_,21µm
_038_,20.96µm
_093_,20.89µm
_232_,20.78µm
_116_,20.46µm
_270_,20.42µm
_276_,20.32µm
_161_,19.68µm
_113_,19.54µm
_197_,18.86µm
_249_,18.82µm
_124_,18.78µm
_075_,18.76µm
product_reg\[9\],18.72µm
_286_,18.56µm
_163_,18.55µm
_044_,18.395µm
a[1],18.38µm
_162_,18.2µm
_273_,18.195µm
_224_,18.12µm
_196_,18.06µm
_281_,17.9µm
_149_,17.56µm
_268_,17.54µm
_058_,17.28µm
_051_,16.8µm
_219_,16.555µm
_047_,16.48µm
_097_,16.48µm
_073_,16.28µm
_239_,16.28µm
_236_,16.26µm
_120_,16.02µm
_259_,15.94µm
_185_,15.605µm
_104_,15.54µm
_315_,15.4µm
_254_,15.38µm
_191_,15.365µm
_265_,15.34µm
_090_,14.72µm
_035_,14.565µm
_135_,14.46µm
_193_,14.36µm
_050_,14.3µm
_208_,14.195µm
_063_,14.02µm
_127_,13.92µm
_318_,13.92µm
_133_,13.84µm
_257_,13.5µm
_123_,13.4µm
net5,13.345µm
_312_,13.32µm
_277_,13.24µm
_168_,13.08µm
a[0],12.86µm
_043_,12.84µm
_284_,12.58µm
_169_,12.54µm
_142_,12.44µm
_077_,12.34µm
_114_,12.34µm
_319_,12.22µm
_190_,12.16µm
_074_,12.14µm
_250_,12.14µm
_209_,12.08µm
_218_,11.92µm
_263_,11.86µm
_275_,11.81µm
_045_,11.64µm
_299_,11.6µm
_230_,11.22µm
_103_,11.135µm
_215_,10.92µm
_233_,10.84µm
_034_,10.78µm
_238_,10.72µm
_279_,10.7µm
_134_,10.56µm
_083_,10.54µm
_098_,10.46µm
_158_,10.36µm
product[10],10.32µm
product[11],10.32µm
product[12],10.32µm
product[13],10.32µm
product[14],10.32µm
_080_,10.28µm
_186_,10.28µm
_290_,10.2µm
_278_,10.18µm
_111_,10.16µm
a[2],10.1µm
_228_,10.08µm
