Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_31_181,VGND,li1,90.6200,97.9200,0.000138
FILLER_31_169,VGND,li1,86.0200,97.9200,0.000138
FILLER_31_165,VGND,li1,82.1100,97.9200,0.000138
FILLER_31_153,VGND,li1,78.6600,97.9200,0.000138
FILLER_31_141,VGND,li1,73.1400,97.9200,0.000138
FILLER_31_135,VGND,li1,67.8500,97.9200,0.000136
FILLER_31_131,VGND,li1,66.7000,97.9200,0.000136
FILLER_31_119,VGND,li1,63.0200,97.9200,0.000133
FILLER_31_113,VGND,li1,57.9600,97.9200,0.000126
FILLER_31_111,VGND,li1,56.8100,97.9200,0.000126
FILLER_31_107,VGND,li1,55.6600,97.9200,0.000121
FILLER_31_98,VGND,li1,51.9800,97.9200,0.000118
FILLER_31_93,VGND,li1,48.5300,97.9200,0.000112
FILLER_31_85,VGND,li1,46.4600,97.9200,0.000107
FILLER_31_82,VGND,li1,43.7000,97.9200,0.000101
FILLER_31_70,VGND,li1,40.4800,97.9200,0.000093
FILLER_31_63,VGND,li1,35.1900,97.9200,0.000073
FILLER_31_57,VGND,li1,32.2000,97.9200,0.000061
FILLER_31_53,VGND,li1,30.5900,97.9200,0.000061
FILLER_31_41,VGND,li1,27.1400,97.9200,0.000048
FILLER_31_29,VGND,li1,21.6200,97.9200,0.000040
FILLER_31_27,VGND,li1,18.1700,97.9200,0.000040
FILLER_31_15,VGND,li1,15.1800,97.9200,0.000040
FILLER_31_3,VGND,li1,9.6600,97.9200,0.000040
FILLER_30_177,VGND,li1,89.7000,92.4800,0.000185
FILLER_30_165,VGND,li1,84.1800,92.4800,0.000179
FILLER_30_153,VGND,li1,78.6600,92.4800,0.000176
FILLER_30_141,VGND,li1,73.1400,92.4800,0.000172
FILLER_30_132,VGND,li1,68.0800,92.4800,0.000167
FILLER_30_88,VGND,li1,46.9200,92.4800,0.000125
FILLER_30_81,VGND,li1,43.4700,92.4800,0.000120
FILLER_30_73,VGND,li1,40.9400,92.4800,0.000110
FILLER_30_61,VGND,li1,36.3400,92.4800,0.000092
FILLER_30_37,VGND,li1,22.7700,92.4800,0.000046
FILLER_30_29,VGND,li1,20.7000,92.4800,0.000046
FILLER_30_27,VGND,li1,18.1700,92.4800,0.000046
FILLER_30_15,VGND,li1,15.1800,92.4800,0.000046
FILLER_30_3,VGND,li1,9.6600,92.4800,0.000046
FILLER_29_181,VGND,li1,89.7000,92.4800,0.000185
FILLER_29_169,VGND,li1,86.0200,92.4800,0.000182
FILLER_29_167,VGND,li1,82.5700,92.4800,0.000178
FILLER_29_161,VGND,li1,80.9600,92.4800,0.000178
FILLER_29_149,VGND,li1,76.8200,92.4800,0.000174
FILLER_29_137,VGND,li1,71.3000,92.4800,0.000169
FILLER_29_125,VGND,li1,65.7800,92.4800,0.000166
FILLER_29_121,VGND,li1,61.4100,92.4800,0.000162
FILLER_29_113,VGND,li1,59.3400,92.4800,0.000159
FILLER_29_108,VGND,li1,56.1200,92.4800,0.000153
FILLER_29_93,VGND,li1,50.1400,92.4800,0.000139
FILLER_29_69,VGND,li1,38.1800,92.4800,0.000099
FILLER_29_57,VGND,li1,34.5000,92.4800,0.000078
FILLER_29_55,VGND,li1,31.0500,92.4800,0.000067
FILLER_29_51,VGND,li1,29.9000,92.4800,0.000067
FILLER_29_39,VGND,li1,26.2200,92.4800,0.000046
FILLER_29_27,VGND,li1,20.7000,92.4800,0.000046
FILLER_29_15,VGND,li1,15.1800,92.4800,0.000046
FILLER_29_3,VGND,li1,9.6600,92.4800,0.000046
FILLER_28_177,VGND,li1,89.7000,87.0400,0.000166
FILLER_28_165,VGND,li1,84.1800,87.0400,0.000162
FILLER_28_153,VGND,li1,78.6600,87.0400,0.000158
FILLER_28_141,VGND,li1,73.1400,87.0400,0.000154
FILLER_28_128,VGND,li1,67.1600,87.0400,0.000149
FILLER_28_116,VGND,li1,61.6400,87.0400,0.000145
FILLER_28_104,VGND,li1,56.1200,87.0400,0.000137
FILLER_28_85,VGND,li1,44.8500,87.0400,0.000117
FILLER_28_80,VGND,li1,43.2400,87.0400,0.000117
FILLER_28_68,VGND,li1,39.5600,87.0400,0.000108
FILLER_28_37,VGND,li1,24.3800,87.0400,0.000053
FILLER_28_29,VGND,li1,19.0900,87.0400,0.000058
FILLER_28_27,VGND,li1,18.1700,87.0400,0.000058
FILLER_28_15,VGND,li1,15.1800,87.0400,0.000059
FILLER_28_3,VGND,li1,9.6600,87.0400,0.000061
FILLER_27_160,VGND,li1,80.9600,87.0400,0.000160
FILLER_27_148,VGND,li1,76.3600,87.0400,0.000156
FILLER_27_136,VGND,li1,70.8400,87.0400,0.000151
FILLER_27_124,VGND,li1,65.3200,87.0400,0.000147
FILLER_27_113,VGND,li1,59.3400,87.0400,0.000142
FILLER_27_104,VGND,li1,55.2000,87.0400,0.000137
FILLER_27_92,VGND,li1,50.6000,87.0400,0.000130
FILLER_27_86,VGND,li1,45.3100,87.0400,0.000122
FILLER_27_65,VGND,li1,35.6500,87.0400,0.000096
FILLER_27_57,VGND,li1,33.5800,87.0400,0.000089
FILLER_27_55,VGND,li1,31.0500,87.0400,0.000077
FILLER_27_23,VGND,li1,17.4800,87.0400,0.000058
FILLER_26_181,VGND,li1,89.0100,81.6000,0.000351
FILLER_26_177,VGND,li1,87.8600,81.6000,0.000351
FILLER_26_165,VGND,li1,84.1800,81.6000,0.000348
FILLER_26_153,VGND,li1,78.6600,81.6000,0.000343
FILLER_26_141,VGND,li1,73.1400,81.6000,0.000337
FILLER_26_136,VGND,li1,69.0000,81.6000,0.000331
FILLER_26_97,VGND,li1,50.6000,81.6000,0.000263
FILLER_26_85,VGND,li1,47.3800,81.6000,0.000240
FILLER_26_76,VGND,li1,42.3200,81.6000,0.000211
FILLER_26_70,VGND,li1,37.9500,81.6000,0.000183
FILLER_26_62,VGND,li1,35.8800,81.6000,0.000168
FILLER_26_50,VGND,li1,31.2800,81.6000,0.000127
FILLER_26_45,VGND,li1,26.6800,81.6000,0.000092
FILLER_26_29,VGND,li1,20.7000,81.6000,0.000079
FILLER_26_27,VGND,li1,18.1700,81.6000,0.000080
FILLER_26_23,VGND,li1,17.0200,81.6000,0.000081
FILLER_26_7,VGND,li1,10.5800,81.6000,0.000082
FILLER_25_166,VGND,li1,82.3400,81.6000,0.000346
FILLER_25_154,VGND,li1,79.1200,81.6000,0.000343
FILLER_25_144,VGND,li1,72.4500,81.6000,0.000337
FILLER_25_124,VGND,li1,63.4800,81.6000,0.000321
FILLER_25_113,VGND,li1,57.7300,81.6000,0.000298
FILLER_25_110,VGND,li1,56.5800,81.6000,0.000289
FILLER_25_104,VGND,li1,53.8200,81.6000,0.000275
FILLER_25_96,VGND,li1,51.5200,81.6000,0.000263
FILLER_25_75,VGND,li1,42.7800,81.6000,0.000211
FILLER_25_65,VGND,li1,35.8800,81.6000,0.000168
FILLER_25_57,VGND,li1,33.5800,81.6000,0.000151
FILLER_25_55,VGND,li1,31.0500,81.6000,0.000127
FILLER_25_51,VGND,li1,29.2100,81.6000,0.000110
FILLER_25_39,VGND,li1,26.2200,81.6000,0.000092
FILLER_25_27,VGND,li1,20.7000,81.6000,0.000079
FILLER_25_15,VGND,li1,15.1800,81.6000,0.000081
FILLER_25_3,VGND,li1,9.6600,81.6000,0.000082
FILLER_24_187,VGND,li1,92.0000,76.1600,0.000154
FILLER_24_179,VGND,li1,89.7000,76.1600,0.000154
FILLER_24_172,VGND,li1,85.5600,76.1600,0.000154
FILLER_24_160,VGND,li1,81.8800,76.1600,0.000154
FILLER_24_148,VGND,li1,76.3600,76.1600,0.000154
FILLER_24_138,VGND,li1,69.4600,76.1600,0.000151
FILLER_24_126,VGND,li1,66.2400,76.1600,0.000149
FILLER_24_119,VGND,li1,60.4900,76.1600,0.000142
FILLER_24_113,VGND,li1,58.8800,76.1600,0.000137
FILLER_24_101,VGND,li1,54.7400,76.1600,0.000131
FILLER_24_90,VGND,li1,47.1500,76.1600,0.000116
FILLER_24_64,VGND,li1,35.6500,76.1600,0.000084
FILLER_24_56,VGND,li1,33.1200,76.1600,0.000070
FILLER_24_44,VGND,li1,26.2200,76.1600,0.000046
FILLER_24_33,VGND,li1,20.9300,76.1600,0.000050
FILLER_24_29,VGND,li1,19.7800,76.1600,0.000050
FILLER_24_26,VGND,li1,17.9400,76.1600,0.000051
FILLER_24_18,VGND,li1,14.0300,76.1600,0.000053
FILLER_24_14,VGND,li1,12.8800,76.1600,0.000055
FILLER_24_10,VGND,li1,10.3500,76.1600,0.000055
FILLER_24_6,VGND,li1,9.2000,76.1600,0.000055
FILLER_23_181,VGND,li1,90.6200,76.1600,0.000154
FILLER_23_169,VGND,li1,86.0200,76.1600,0.000154
FILLER_23_166,VGND,li1,82.3400,76.1600,0.000154
FILLER_23_154,VGND,li1,79.1200,76.1600,0.000154
FILLER_23_142,VGND,li1,73.6000,76.1600,0.000154
FILLER_23_130,VGND,li1,68.0800,76.1600,0.000151
FILLER_23_122,VGND,li1,61.8700,76.1600,0.000145
FILLER_23_113,VGND,li1,57.9600,76.1600,0.000137
FILLER_23_100,VGND,li1,54.2800,76.1600,0.000131
FILLER_23_88,VGND,li1,48.7600,76.1600,0.000116
FILLER_23_76,VGND,li1,43.2400,76.1600,0.000105
FILLER_23_64,VGND,li1,37.7200,76.1600,0.000091
