net,length_um
net59,161.675µm
net60,153.12µm
clknet_2_2__leaf_clk,111.74µm
net34,102.22µm
net61,100.2µm
b_reg\[2\],99.715µm
clknet_2_3__leaf_clk,98.36µm
net51,97.54µm
net37,96.96µm
net49,95.5µm
net40,91.62µm
clknet_2_0__leaf_clk,88.92µm
net58,86.76µm
net57,85.91µm
clknet_2_1__leaf_clk,84.04µm
net38,82.67µm
clk,80.99µm
b_reg\[3\],79.5µm
net53,77.535µm
net50,77.48µm
net45,76.71µm
a_reg\[0\],71.32µm
net55,69.375µm
b_reg\[5\],67.09µm
net35,63.885µm
b_reg\[4\],61.4µm
net47,61.25µm
a_reg\[5\],60.18µm
clknet_0_clk,59.2µm
a_reg\[1\],58.15µm
a_reg\[7\],56.42µm
net39,53.07µm
b_reg\[7\],50.86µm
net44,49.46µm
b_reg\[1\],48.88µm
a_reg\[4\],48.58µm
net41,48.25µm
_182_,46.86µm
a_reg\[2\],46.26µm
a_reg\[3\],46.05µm
b_reg\[6\],43.06µm
net42,39.43µm
_121_,36.08µm
_166_,35.94µm
_213_,35.525µm
net36,35.06µm
b_reg\[0\],34.35µm
_085_,32.68µm
_240_,32.34µm
_122_,32.075µm
a_reg\[6\],30.88µm
_153_,30.6µm
net54,30.22µm
_089_,29.76µm
_225_,29.4µm
_246_,28.705µm
_245_,27.5µm
_041_,26.7µm
_061_,26.04µm
_154_,25.91µm
_270_,25.82µm
_065_,25.57µm
net56,25.44µm
net48,25.2µm
net46,25.11µm
net52,24.2µm
_232_,23.9µm
_087_,23.46µm
net43,22.56µm
_044_,22.42µm
_293_,21.14µm
product_reg\[9\],21.1µm
_183_,20.68µm
_276_,20.66µm
_219_,20.605µm
_093_,20.18µm
_038_,20.11µm
_163_,19.92µm
_081_,19.84µm
_165_,19.6µm
_220_,19.28µm
_193_,19.12µm
_047_,18.66µm
a[1],18.38µm
_043_,18.08µm
_197_,17.94µm
_051_,17.62µm
_196_,17.6µm
_281_,17.44µm
_133_,17.36µm
_268_,16.94µm
_168_,16.72µm
_058_,16.14µm
_284_,16.1µm
_224_,16.08µm
_063_,15.72µm
_236_,15.68µm
_273_,15.66µm
_149_,15.56µm
_312_,15.56µm
_186_,15.32µm
_032_,15.14µm
_046_,15.12µm
_050_,14.76µm
_185_,14.605µm
_127_,14.44µm
_191_,14.405µm
_209_,14.22µm
_134_,14.1µm
_279_,14µm
_286_,13.8µm
_259_,13.56µm
_077_,13.34µm
a[0],13.32µm
_076_,13.24µm
_126_,13.02µm
_070_,12.94µm
_261_,12.8µm
_233_,12.775µm
_057_,12.68µm
_099_,12.66µm
_162_,12.64µm
_218_,12.6µm
_112_,12.56µm
_239_,12.42µm
a[6],12.37µm
_075_,12.36µm
_078_,12.34µm
_161_,12.26µm
_299_,12.16µm
_214_,12.04µm
_254_,12µm
_097_,11.78µm
_208_,11.675µm
_072_,11.62µm
_230_,11.58µm
_315_,11.47µm
_253_,11.34µm
_241_,11.26µm
_090_,11.2µm
_109_,11.2µm
_125_,11.2µm
_111_,11.13µm
_142_,11.08µm
_278_,11.02µm
_059_,10.96µm
_137_,10.96µm
_263_,10.9µm
_035_,10.885µm
_143_,10.84µm
_257_,10.78µm
b[2],10.78µm
_307_,10.74µm
_250_,10.7µm
a[2],10.56µm
_086_,10.54µm
_067_,10.46µm
_117_,10.4µm
_309_,10.38µm
_073_,10.28µm
_074_,10.18µm
_216_,10.04µm
_098_,10µm
b[3],9.97µm
_305_,9.96µm
_275_,9.94µm
_135_,9.9µm
_319_,9.835µm
_157_,9.76µm
_080_,9.72µm
_242_,9.7µm
a[3],9.64µm
b[0],9.64µm
b[1],9.64µm
_287_,9.62µm
product_reg\[8\],9.54µm
_290_,9.52µm
_227_,9.5µm
_148_,9.48µm
_174_,9.48µm
_285_,9.48µm
product[10],9.4µm
product[11],9.4µm
product[12],9.4µm
product[13],9.4µm
product[14],9.4µm
_265_,9.38µm
_169_,9.36µm
_308_,9.3µm
_237_,9.08µm
_110_,9.04µm
_205_,9.025µm
_079_,9µm
_215_,9µm
net9,8.98µm
_289_,8.94µm
_158_,8.9µm
_124_,8.8µm
_150_,8.78µm
_177_,8.78µm
_190_,8.62µm
_123_,8.58µm
product_reg\[12\],8.56µm
net23,8.54µm
_101_,8.52µm
_173_,8.44µm
_238_,8.4µm
_128_,8.34µm
_114_,8.24µm
_244_,8.24µm
product_reg\[13\],8.18µm
net1,8.14µm
_256_,8.12µm
_274_,8.12µm
_296_,8.12µm
_203_,8.1µm
product[0],8.04µm
product[1],8.04µm
_014_,8.03µm
net5,8.02µm
_082_,7.98µm
_318_,7.92µm
_055_,7.905µm
_155_,7.9µm
_188_,7.9µm
_178_,7.74µm
net10,7.68µm
_255_,7.64µm
product_reg\[10\],7.64µm
_069_,7.56µm
_202_,7.56µm
_147_,7.54µm
_084_,7.52µm
_152_,7.5µm
_316_,7.42µm
_131_,7.4µm
_222_,7.32µm
_118_,7.22µm
_234_,7.2µm
_034_,7.1µm
_103_,7.1µm
_251_,7.08µm
b[5],6.99µm
product[15],6.99µm
_189_,6.98µm
_277_,6.98µm
_260_,6.92µm
b[7],6.89µm
_104_,6.88µm
_129_,6.72µm
_151_,6.72µm
_306_,6.72µm
a[5],6.67µm
_042_,6.6µm
net21,6.6µm
_228_,6.54µm
_105_,6.48µm
_187_,6.48µm
_206_,6.4µm
_243_,6.4µm
_171_,6.3µm
net26,6.3µm
net28,6.3µm
net30,6.3µm
net31,6.3µm
net32,6.3µm
_249_,6.28µm
_037_,6.2µm
_298_,6.2µm
_280_,6.18µm
_320_,6.175µm
_317_,6.155µm
net7,6.105µm
_116_,6.04µm
_033_,6µm
rst,5.97µm
_201_,5.94µm
_022_,5.89µm
_052_,5.86µm
_071_,5.84µm
_092_,5.84µm
_113_,5.84µm
_083_,5.82µm
_115_,5.8µm
_175_,5.8µm
product_reg\[6\],5.8µm
_266_,5.72µm
_302_,5.72µm
_054_,5.7µm
_303_,5.7µm
_106_,5.68µm
_164_,5.68µm
b[4],5.63µm
product_reg\[7\],5.6µm
_015_,5.56µm
_064_,5.52µm
net4,5.46µm
_045_,5.4µm
net2,5.4µm
_094_,5.36µm
_040_,5.34µm
_141_,5.34µm
_252_,5.34µm
product[2],5.29µm
product[7],5.29µm
product[9],5.29µm
_062_,5.28µm
_181_,5.28µm
_095_,5.26µm
_199_,5.26µm
_212_,5.26µm
_172_,5.14µm
_204_,5.14µm
_005_,5.1µm
_016_,5.07µm
_049_,5.02µm
_184_,5.02µm
_140_,5µm
net3,5µm
a[4],4.95µm
b[6],4.95µm
_096_,4.94µm
_301_,4.94µm
_269_,4.92µm
_210_,4.88µm
_119_,4.8µm
_291_,4.8µm
_300_,4.8µm
