Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_31_181,VGND,li1,90.6200,97.9200,0.000009
FILLER_31_169,VGND,li1,86.0200,97.9200,0.000009
FILLER_31_165,VGND,li1,82.1100,97.9200,0.000009
FILLER_31_153,VGND,li1,78.6600,97.9200,0.000009
FILLER_31_141,VGND,li1,73.1400,97.9200,0.000009
FILLER_31_139,VGND,li1,69.6900,97.9200,0.000009
FILLER_31_130,VGND,li1,66.7000,97.9200,0.000009
FILLER_31_118,VGND,li1,62.5600,97.9200,0.000009
FILLER_31_113,VGND,li1,57.9600,97.9200,0.000008
FILLER_31_109,VGND,li1,56.3500,97.9200,0.000008
FILLER_31_97,VGND,li1,52.9000,97.9200,0.000008
FILLER_31_93,VGND,li1,48.5300,97.9200,0.000007
FILLER_31_85,VGND,li1,46.4600,97.9200,0.000007
FILLER_31_81,VGND,li1,43.4700,97.9200,0.000007
FILLER_31_69,VGND,li1,40.0200,97.9200,0.000006
FILLER_31_62,VGND,li1,34.9600,97.9200,0.000005
FILLER_31_57,VGND,li1,32.2000,97.9200,0.000004
FILLER_31_52,VGND,li1,30.3600,97.9200,0.000004
FILLER_31_41,VGND,li1,26.2200,97.9200,0.000003
FILLER_31_29,VGND,li1,21.6200,97.9200,0.000003
FILLER_31_27,VGND,li1,18.1700,97.9200,0.000003
FILLER_31_15,VGND,li1,15.1800,97.9200,0.000003
FILLER_31_3,VGND,li1,9.6600,97.9200,0.000003
FILLER_30_177,VGND,li1,89.7000,92.4800,0.000059
FILLER_30_165,VGND,li1,84.1800,92.4800,0.000059
FILLER_30_153,VGND,li1,78.6600,92.4800,0.000059
FILLER_30_141,VGND,li1,73.1400,92.4800,0.000059
FILLER_30_136,VGND,li1,69.0000,92.4800,0.000058
FILLER_30_92,VGND,li1,48.0700,92.4800,0.000050
FILLER_30_88,VGND,li1,46.9200,92.4800,0.000047
FILLER_30_80,VGND,li1,43.2400,92.4800,0.000045
FILLER_30_68,VGND,li1,39.5600,92.4800,0.000039
FILLER_30_41,VGND,li1,25.3000,92.4800,0.000020
FILLER_30_29,VGND,li1,21.6200,92.4800,0.000020
FILLER_30_27,VGND,li1,18.1700,92.4800,0.000020
FILLER_30_15,VGND,li1,15.1800,92.4800,0.000020
FILLER_30_3,VGND,li1,9.6600,92.4800,0.000020
FILLER_29_185,VGND,li1,90.8500,92.4800,0.000059
FILLER_29_181,VGND,li1,89.7000,92.4800,0.000059
FILLER_29_169,VGND,li1,86.0200,92.4800,0.000059
FILLER_29_167,VGND,li1,82.5700,92.4800,0.000059
FILLER_29_161,VGND,li1,80.9600,92.4800,0.000059
FILLER_29_149,VGND,li1,76.8200,92.4800,0.000059
FILLER_29_137,VGND,li1,71.3000,92.4800,0.000058
FILLER_29_125,VGND,li1,65.7800,92.4800,0.000058
FILLER_29_113,VGND,li1,60.2600,92.4800,0.000057
FILLER_29_109,VGND,li1,56.3500,92.4800,0.000055
FILLER_29_105,VGND,li1,54.0500,92.4800,0.000054
FILLER_29_93,VGND,li1,51.0600,92.4800,0.000052
FILLER_29_69,VGND,li1,38.1800,92.4800,0.000039
FILLER_29_57,VGND,li1,34.5000,92.4800,0.000034
FILLER_29_35,VGND,li1,21.8500,92.4800,0.000020
FILLER_29_27,VGND,li1,19.7800,92.4800,0.000020
FILLER_29_15,VGND,li1,15.1800,92.4800,0.000020
FILLER_29_3,VGND,li1,9.6600,92.4800,0.000020
FILLER_28_165,VGND,li1,82.3400,87.0400,0.000081
FILLER_28_153,VGND,li1,78.6600,87.0400,0.000080
FILLER_28_141,VGND,li1,73.1400,87.0400,0.000078
FILLER_28_134,VGND,li1,68.5400,87.0400,0.000076
FILLER_28_122,VGND,li1,64.4000,87.0400,0.000074
FILLER_28_110,VGND,li1,58.8800,87.0400,0.000072
FILLER_28_102,VGND,li1,52.6700,87.0400,0.000069
FILLER_28_96,VGND,li1,51.0600,87.0400,0.000066
FILLER_28_85,VGND,li1,45.5400,87.0400,0.000060
FILLER_28_76,VGND,li1,42.3200,87.0400,0.000054
FILLER_28_64,VGND,li1,37.7200,87.0400,0.000050
FILLER_28_52,VGND,li1,32.2000,87.0400,0.000038
FILLER_28_40,VGND,li1,26.6800,87.0400,0.000026
FILLER_28_29,VGND,li1,19.0900,87.0400,0.000028
FILLER_28_27,VGND,li1,18.1700,87.0400,0.000029
FILLER_28_15,VGND,li1,15.1800,87.0400,0.000029
FILLER_28_3,VGND,li1,9.6600,87.0400,0.000030
FILLER_27_185,VGND,li1,91.5400,87.0400,0.000084
FILLER_27_181,VGND,li1,89.0100,87.0400,0.000084
FILLER_27_169,VGND,li1,86.0200,87.0400,0.000083
FILLER_27_167,VGND,li1,82.5700,87.0400,0.000081
FILLER_27_161,VGND,li1,80.9600,87.0400,0.000081
FILLER_27_149,VGND,li1,76.8200,87.0400,0.000079
FILLER_27_137,VGND,li1,71.3000,87.0400,0.000077
FILLER_27_125,VGND,li1,65.7800,87.0400,0.000074
FILLER_27_113,VGND,li1,60.2600,87.0400,0.000072
FILLER_27_111,VGND,li1,56.8100,87.0400,0.000071
FILLER_27_105,VGND,li1,55.2000,87.0400,0.000070
FILLER_27_93,VGND,li1,48.5300,87.0400,0.000064
FILLER_27_82,VGND,li1,44.6200,87.0400,0.000060
FILLER_27_76,VGND,li1,40.7100,87.0400,0.000054
FILLER_27_57,VGND,li1,32.6600,87.0400,0.000038
FILLER_27_54,VGND,li1,30.8200,87.0400,0.000035
FILLER_27_27,VGND,li1,18.1700,87.0400,0.000029
FILLER_27_23,VGND,li1,17.0200,87.0400,0.000029
FILLER_26_185,VGND,li1,90.8500,81.6000,0.000151
FILLER_26_177,VGND,li1,88.7800,81.6000,0.000150
FILLER_26_165,VGND,li1,84.1800,81.6000,0.000149
