Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_31_181,VPWR,li1,90.6200,95.2000,1.799945
FILLER_31_169,VPWR,li1,86.0200,95.2000,1.799945
FILLER_31_165,VPWR,li1,82.1100,95.2000,1.799945
FILLER_31_153,VPWR,li1,78.6600,95.2000,1.799945
FILLER_31_141,VPWR,li1,73.1400,95.2000,1.799945
FILLER_31_139,VPWR,li1,69.6900,95.2000,1.799945
FILLER_31_130,VPWR,li1,66.7000,95.2000,1.799945
FILLER_31_118,VPWR,li1,62.5600,95.2000,1.799945
FILLER_31_113,VPWR,li1,57.9600,95.2000,1.799948
FILLER_31_109,VPWR,li1,56.3500,95.2000,1.799948
FILLER_31_97,VPWR,li1,52.9000,95.2000,1.799950
FILLER_31_93,VPWR,li1,48.5300,95.2000,1.799954
FILLER_31_85,VPWR,li1,46.4600,95.2000,1.799957
FILLER_31_81,VPWR,li1,43.4700,95.2000,1.799959
FILLER_31_69,VPWR,li1,40.0200,95.2000,1.799963
FILLER_31_62,VPWR,li1,34.9600,95.2000,1.799969
FILLER_31_57,VPWR,li1,32.2000,95.2000,1.799972
FILLER_31_52,VPWR,li1,30.3600,95.2000,1.799975
FILLER_31_41,VPWR,li1,26.2200,95.2000,1.799980
FILLER_31_29,VPWR,li1,21.6200,95.2000,1.799985
FILLER_31_27,VPWR,li1,18.1700,95.2000,1.799985
FILLER_31_15,VPWR,li1,15.1800,95.2000,1.799985
FILLER_31_3,VPWR,li1,9.6600,95.2000,1.799985
FILLER_30_177,VPWR,li1,89.7000,95.2000,1.799945
FILLER_30_165,VPWR,li1,84.1800,95.2000,1.799945
FILLER_30_153,VPWR,li1,78.6600,95.2000,1.799945
FILLER_30_141,VPWR,li1,73.1400,95.2000,1.799945
FILLER_30_136,VPWR,li1,69.0000,95.2000,1.799945
FILLER_30_92,VPWR,li1,48.0700,95.2000,1.799954
FILLER_30_88,VPWR,li1,46.9200,95.2000,1.799957
FILLER_30_80,VPWR,li1,43.2400,95.2000,1.799959
FILLER_30_68,VPWR,li1,39.5600,95.2000,1.799963
FILLER_30_41,VPWR,li1,25.3000,95.2000,1.799980
FILLER_30_29,VPWR,li1,21.6200,95.2000,1.799985
FILLER_30_27,VPWR,li1,18.1700,95.2000,1.799985
FILLER_30_15,VPWR,li1,15.1800,95.2000,1.799985
FILLER_30_3,VPWR,li1,9.6600,95.2000,1.799985
FILLER_29_185,VPWR,li1,90.8500,89.7600,1.799923
FILLER_29_181,VPWR,li1,89.7000,89.7600,1.799923
FILLER_29_169,VPWR,li1,86.0200,89.7600,1.799924
FILLER_29_167,VPWR,li1,82.5700,89.7600,1.799927
FILLER_29_161,VPWR,li1,80.9600,89.7600,1.799927
FILLER_29_149,VPWR,li1,76.8200,89.7600,1.799929
FILLER_29_137,VPWR,li1,71.3000,89.7600,1.799931
FILLER_29_125,VPWR,li1,65.7800,89.7600,1.799934
FILLER_29_113,VPWR,li1,60.2600,89.7600,1.799937
FILLER_29_109,VPWR,li1,56.3500,89.7600,1.799938
FILLER_29_105,VPWR,li1,54.0500,89.7600,1.799939
FILLER_29_93,VPWR,li1,51.0600,89.7600,1.799941
FILLER_29_69,VPWR,li1,38.1800,89.7600,1.799956
FILLER_29_57,VPWR,li1,34.5000,89.7600,1.799960
FILLER_29_35,VPWR,li1,21.8500,89.7600,1.799981
FILLER_29_27,VPWR,li1,19.7800,89.7600,1.799981
FILLER_29_15,VPWR,li1,15.1800,89.7600,1.799981
FILLER_29_3,VPWR,li1,9.6600,89.7600,1.799981
FILLER_28_165,VPWR,li1,82.3400,89.7600,1.799927
FILLER_28_153,VPWR,li1,78.6600,89.7600,1.799928
FILLER_28_141,VPWR,li1,73.1400,89.7600,1.799930
FILLER_28_134,VPWR,li1,68.5400,89.7600,1.799932
FILLER_28_122,VPWR,li1,64.4000,89.7600,1.799934
FILLER_28_110,VPWR,li1,58.8800,89.7600,1.799937
FILLER_28_102,VPWR,li1,52.6700,89.7600,1.799941
FILLER_28_96,VPWR,li1,51.0600,89.7600,1.799941
FILLER_28_85,VPWR,li1,45.5400,89.7600,1.799947
FILLER_28_76,VPWR,li1,42.3200,89.7600,1.799949
FILLER_28_64,VPWR,li1,37.7200,89.7600,1.799956
FILLER_28_52,VPWR,li1,32.2000,89.7600,1.799964
FILLER_28_40,VPWR,li1,26.6800,89.7600,1.799971
FILLER_28_29,VPWR,li1,19.0900,89.7600,1.799981
FILLER_28_27,VPWR,li1,18.1700,89.7600,1.799981
FILLER_28_15,VPWR,li1,15.1800,89.7600,1.799981
FILLER_28_3,VPWR,li1,9.6600,89.7600,1.799981
FILLER_27_185,VPWR,li1,91.5400,84.3200,1.799905
FILLER_27_181,VPWR,li1,89.0100,84.3200,1.799905
FILLER_27_169,VPWR,li1,86.0200,84.3200,1.799905
FILLER_27_167,VPWR,li1,82.5700,84.3200,1.799905
FILLER_27_161,VPWR,li1,80.9600,84.3200,1.799905
FILLER_27_149,VPWR,li1,76.8200,84.3200,1.799905
FILLER_27_137,VPWR,li1,71.3000,84.3200,1.799906
FILLER_27_125,VPWR,li1,65.7800,84.3200,1.799906
FILLER_27_113,VPWR,li1,60.2600,84.3200,1.799908
FILLER_27_111,VPWR,li1,56.8100,84.3200,1.799911
FILLER_27_105,VPWR,li1,55.2000,84.3200,1.799911
FILLER_27_93,VPWR,li1,48.5300,84.3200,1.799920
FILLER_27_82,VPWR,li1,44.6200,84.3200,1.799924
FILLER_27_76,VPWR,li1,40.7100,84.3200,1.799930
FILLER_27_57,VPWR,li1,32.6600,84.3200,1.799945
FILLER_27_54,VPWR,li1,30.8200,84.3200,1.799949
FILLER_27_27,VPWR,li1,18.1700,84.3200,1.799971
FILLER_27_23,VPWR,li1,17.0200,84.3200,1.799971
FILLER_26_185,VPWR,li1,90.8500,84.3200,1.799905
FILLER_26_177,VPWR,li1,88.7800,84.3200,1.799905
FILLER_26_165,VPWR,li1,84.1800,84.3200,1.799905
FILLER_26_153,VPWR,li1,78.6600,84.3200,1.799905
FILLER_26_141,VPWR,li1,73.1400,84.3200,1.799906
FILLER_26_136,VPWR,li1,69.0000,84.3200,1.799906
FILLER_26_128,VPWR,li1,64.6300,84.3200,1.799906
FILLER_26_97,VPWR,li1,51.0600,84.3200,1.799917
FILLER_26_85,VPWR,li1,47.3800,84.3200,1.799920
FILLER_26_76,VPWR,li1,42.3200,84.3200,1.799930
FILLER_26_69,VPWR,li1,37.7200,84.3200,1.799935
FILLER_26_57,VPWR,li1,34.5000,84.3200,1.799941
FILLER_26_51,VPWR,li1,29.6700,84.3200,1.799954
FILLER_26_42,VPWR,li1,26.2200,84.3200,1.799959
FILLER_26_29,VPWR,li1,20.7000,84.3200,1.799972
FILLER_26_20,VPWR,li1,16.5600,84.3200,1.799971
FILLER_26_14,VPWR,li1,12.1900,84.3200,1.799969
FILLER_26_10,VPWR,li1,10.3500,84.3200,1.799969
FILLER_26_6,VPWR,li1,9.2000,84.3200,1.799969
FILLER_25_165,VPWR,li1,82.1100,78.8800,1.799845
FILLER_25_153,VPWR,li1,78.6600,78.8800,1.799846
FILLER_25_138,VPWR,li1,70.8400,78.8800,1.799851
FILLER_25_131,VPWR,li1,66.0100,78.8800,1.799855
FILLER_25_119,VPWR,li1,63.0200,78.8800,1.799858
FILLER_25_111,VPWR,li1,56.8100,78.8800,1.799868
FILLER_25_105,VPWR,li1,54.2800,78.8800,1.799872
FILLER_25_97,VPWR,li1,51.9800,78.8800,1.799878
FILLER_25_76,VPWR,li1,43.2400,78.8800,1.799900
FILLER_25_67,VPWR,li1,36.5700,78.8800,1.799918
FILLER_25_61,VPWR,li1,34.9600,78.8800,1.799925
FILLER_25_55,VPWR,li1,31.0500,78.8800,1.799938
FILLER_25_37,VPWR,li1,25.3000,78.8800,1.799954
FILLER_25_25,VPWR,li1,19.7800,78.8800,1.799965
FILLER_25_15,VPWR,li1,13.1100,78.8800,1.799965
FILLER_25_3,VPWR,li1,9.6600,78.8800,1.799965
FILLER_24_185,VPWR,li1,91.5400,78.8800,1.799842
FILLER_24_170,VPWR,li1,86.4800,78.8800,1.799842
FILLER_24_158,VPWR,li1,80.9600,78.8800,1.799845
FILLER_24_146,VPWR,li1,75.4400,78.8800,1.799847
FILLER_24_139,VPWR,li1,69.6900,78.8800,1.799851
FILLER_24_129,VPWR,li1,65.5500,78.8800,1.799855
FILLER_24_121,VPWR,li1,63.0200,78.8800,1.799858
FILLER_24_110,VPWR,li1,56.3500,78.8800,1.799868
FILLER_24_102,VPWR,li1,54.2800,78.8800,1.799872
FILLER_24_91,VPWR,li1,47.6100,78.8800,1.799891
FILLER_24_85,VPWR,li1,46.0000,78.8800,1.799891
FILLER_24_78,VPWR,li1,42.7800,78.8800,1.799900
FILLER_24_64,VPWR,li1,35.8800,78.8800,1.799925
FILLER_24_53,VPWR,li1,30.1300,78.8800,1.799938
FILLER_24_45,VPWR,li1,28.0600,78.8800,1.799945
FILLER_24_29,VPWR,li1,20.2400,78.8800,1.799965
FILLER_24_24,VPWR,li1,17.4800,78.8800,1.799965
FILLER_24_13,VPWR,li1,12.4200,78.8800,1.799965
FILLER_24_6,VPWR,li1,9.2000,78.8800,1.799965
FILLER_23_181,VPWR,li1,90.6200,73.4400,1.799891
FILLER_23_169,VPWR,li1,86.0200,73.4400,1.799892
FILLER_23_167,VPWR,li1,82.5700,73.4400,1.799893
FILLER_23_163,VPWR,li1,81.4200,73.4400,1.799893
FILLER_23_151,VPWR,li1,77.7400,73.4400,1.799895
FILLER_23_139,VPWR,li1,72.2200,73.4400,1.799898
FILLER_23_128,VPWR,li1,65.7800,73.4400,1.799902
FILLER_23_113,VPWR,li1,57.9600,73.4400,1.799910
FILLER_23_111,VPWR,li1,56.8100,73.4400,1.799913
FILLER_23_107,VPWR,li1,55.6600,73.4400,1.799913
FILLER_23_95,VPWR,li1,51.9800,73.4400,1.799917
FILLER_23_81,VPWR,li1,43.2400,73.4400,1.799931
FILLER_23_73,VPWR,li1,40.9400,73.4400,1.799935
FILLER_23_65,VPWR,li1,36.1100,73.4400,1.799943
FILLER_23_57,VPWR,li1,33.5800,73.4400,1.799948
FILLER_23_55,VPWR,li1,31.0500,73.4400,1.799953
FILLER_23_49,VPWR,li1,29.4400,73.4400,1.799958
FILLER_23_32,VPWR,li1,23.0000,73.4400,1.799974
FILLER_22_161,VPWR,li1,81.4200,73.4400,1.799893
FILLER_22_149,VPWR,li1,74.7500,73.4400,1.799896
FILLER_22_141,VPWR,li1,72.2200,73.4400,1.799898
FILLER_22_139,VPWR,li1,69.6900,73.4400,1.799900
FILLER_22_127,VPWR,li1,66.7000,73.4400,1.799902
FILLER_22_112,VPWR,li1,57.5000,73.4400,1.799910
FILLER_22_104,VPWR,li1,55.2000,73.4400,1.799913
FILLER_22_85,VPWR,li1,47.3800,73.4400,1.799923
FILLER_22_83,VPWR,li1,43.9300,73.4400,1.799931
FILLER_22_79,VPWR,li1,42.7800,73.4400,1.799931
FILLER_22_68,VPWR,li1,37.7200,73.4400,1.799943
FILLER_22_57,VPWR,li1,32.6600,73.4400,1.799953
FILLER_22_41,VPWR,li1,25.7600,73.4400,1.799965
FILLER_22_29,VPWR,li1,21.6200,73.4400,1.799974
FILLER_22_27,VPWR,li1,18.1700,73.4400,1.799972
FILLER_22_11,VPWR,li1,10.8100,73.4400,1.799971
FILLER_22_3,VPWR,li1,8.7400,73.4400,1.799971
FILLER_21_185,VPWR,li1,90.8500,68.0000,1.799796
FILLER_21_181,VPWR,li1,89.0100,68.0000,1.799796
FILLER_21_169,VPWR,li1,86.0200,68.0000,1.799796
FILLER_21_166,VPWR,li1,82.3400,68.0000,1.799796
FILLER_21_158,VPWR,li1,78.4300,68.0000,1.799797
FILLER_21_151,VPWR,li1,75.2100,68.0000,1.799797
FILLER_21_147,VPWR,li1,74.0600,68.0000,1.799798
FILLER_21_133,VPWR,li1,68.0800,68.0000,1.799801
FILLER_21_105,VPWR,li1,54.0500,68.0000,1.799823
FILLER_21_69,VPWR,li1,37.9500,68.0000,1.799880
FILLER_21_57,VPWR,li1,34.5000,68.0000,1.799897
FILLER_21_55,VPWR,li1,31.0500,68.0000,1.799912
FILLER_21_51,VPWR,li1,29.9000,68.0000,1.799912
FILLER_21_26,VPWR,li1,19.3200,68.0000,1.799952
FILLER_21_11,VPWR,li1,11.0400,68.0000,1.799952
FILLER_21_3,VPWR,li1,8.7400,68.0000,1.799952
FILLER_20_178,VPWR,li1,89.2400,68.0000,1.799796
FILLER_20_166,VPWR,li1,84.6400,68.0000,1.799796
FILLER_20_134,VPWR,li1,67.6200,68.0000,1.799802
FILLER_20_123,VPWR,li1,62.5600,68.0000,1.799805
FILLER_20_113,VPWR,li1,58.4200,68.0000,1.799815
FILLER_20_101,VPWR,li1,54.7400,68.0000,1.799823
FILLER_20_95,VPWR,li1,49.4500,68.0000,1.799838
FILLER_20_91,VPWR,li1,48.3000,68.0000,1.799838
FILLER_20_85,VPWR,li1,44.8500,68.0000,1.799847
FILLER_20_78,VPWR,li1,42.7800,68.0000,1.799853
FILLER_20_70,VPWR,li1,37.9500,68.0000,1.799880
FILLER_20_66,VPWR,li1,36.8000,68.0000,1.799880
FILLER_20_54,VPWR,li1,33.1200,68.0000,1.799897
FILLER_20_42,VPWR,li1,27.6000,68.0000,1.799922
FILLER_20_36,VPWR,li1,22.3100,68.0000,1.799952
FILLER_20_32,VPWR,li1,21.1600,68.0000,1.799952
FILLER_20_27,VPWR,li1,18.1700,68.0000,1.799952
FILLER_20_3,VPWR,li1,9.6600,68.0000,1.799952
FILLER_19_167,VPWR,li1,82.5700,62.5600,1.799952
FILLER_19_159,VPWR,li1,80.5000,62.5600,1.799952
FILLER_19_147,VPWR,li1,75.9000,62.5600,1.799954
FILLER_19_139,VPWR,li1,69.6900,62.5600,1.799956
FILLER_19_131,VPWR,li1,67.6200,62.5600,1.799957
FILLER_19_113,VPWR,li1,58.1900,62.5600,1.799962
FILLER_19_106,VPWR,li1,55.6600,62.5600,1.799963
FILLER_19_88,VPWR,li1,46.6900,62.5600,1.799968
FILLER_19_80,VPWR,li1,44.1600,62.5600,1.799969
FILLER_19_57,VPWR,li1,33.5800,62.5600,1.799977
FILLER_19_55,VPWR,li1,31.0500,62.5600,1.799980
FILLER_19_47,VPWR,li1,28.9800,62.5600,1.799981
FILLER_19_38,VPWR,li1,23.4600,62.5600,1.799987
FILLER_19_30,VPWR,li1,21.1600,62.5600,1.799989
FILLER_19_15,VPWR,li1,12.8800,62.5600,1.799989
FILLER_19_3,VPWR,li1,9.6600,62.5600,1.799989
FILLER_18_185,VPWR,li1,91.5400,62.5600,1.799950
FILLER_18_181,VPWR,li1,89.0100,62.5600,1.799950
FILLER_18_177,VPWR,li1,87.8600,62.5600,1.799950
FILLER_18_165,VPWR,li1,84.1800,62.5600,1.799952
FILLER_18_153,VPWR,li1,78.6600,62.5600,1.799953
FILLER_18_141,VPWR,li1,73.1400,62.5600,1.799955
FILLER_18_132,VPWR,li1,68.0800,62.5600,1.799957
FILLER_18_120,VPWR,li1,63.4800,62.5600,1.799959
FILLER_18_103,VPWR,li1,53.5900,62.5600,1.799964
FILLER_18_82,VPWR,li1,43.7000,62.5600,1.799971
FILLER_18_46,VPWR,li1,29.4400,62.5600,1.799981
FILLER_18_35,VPWR,li1,22.3100,62.5600,1.799989
FILLER_18_29,VPWR,li1,19.5500,62.5600,1.799989
FILLER_18_11,VPWR,li1,10.8100,62.5600,1.799989
FILLER_18_3,VPWR,li1,8.7400,62.5600,1.799989
FILLER_17_188,VPWR,li1,92.2300,57.1200,1.799968
FILLER_17_176,VPWR,li1,89.2400,57.1200,1.799968
FILLER_17_166,VPWR,li1,82.3400,57.1200,1.799968
FILLER_17_153,VPWR,li1,77.7400,57.1200,1.799969
FILLER_17_125,VPWR,li1,63.9400,57.1200,1.799973
FILLER_17_113,VPWR,li1,60.2600,57.1200,1.799975
FILLER_17_111,VPWR,li1,56.8100,57.1200,1.799976
